,site,station,sample_period,species_common,species_abundance,tow_id,station_total_pcov,station_sd_total_pcov,station_se_total_pcov,station_tt_pcov,station_sd_tt_pcov,station_se_tt_pcov,station_hw_pcov,station_sd_hw_pcov,station_se_hw_pcov,station_sf_pcov,station_sd_sf_pcov,station_se_sf_pcov,station_he_pcov,station_sd_he_pcov,station_se_he_pcov,station_hd_pcov,station_sd_hd_pcov,station_se_hd_pcov,station_rm_pcov,station_sd_rm_pcov,station_se_rm_pcov,station_mac_pcov,station_sd_mac_pcov,station_se_mac_pcov,station_drift_pcov,station_sd_drift_pcov,station_se_drift_pcov,station_bare_pcov,station_sd_bare_pcov,station_se_bare_pcov,station_tt_sht_m,station_sd_tt_sht_m,station_se_tt_sht_m,station_hw_sht_m,station_sd_hw_sht_m,station_se_hw_sht_m,station_sf_sht_m,station_sd_sf_sht_m,station_se_sf_sht_m,station_he_sht_m,station_sd_he_sht_m,station_se_he_sht_m,station_hd_sht_m,station_sd_hd_sht_m,station_se_hd_sht_m,station_rm_sht_m,station_sd_rm_sht_m,station_se_rm_sht_m,station_sg_sht_m,station_sd_sg_sht_m,station_se_sg_sht_m,station_tt_can,station_sd_tt_can,station_se_tt_can,station_hw_can,station_sd_hw_can,station_se_hw_can,station_sf_can,station_sd_sf_can,station_se_sf_can,station_he_can,station_sd_he_can,station_se_he_can,station_hd_can,station_sd_hd_can,station_se_hd_can,station_rm_can,station_sd_rm_can,station_se_rm_can,station_sg_can,station_sd_sg_can,station_se_sg_can,station_tt_sht_ratio,station_sd_tt_sht_ratio,station_hw_sht_ratio,station_sd_hw_sht_ratio,station_sf_sht_ratio,station_sd_sf_sht_ratio,station_he_sht_ratio,station_sd_he_sht_ratio,station_hd_sht_ratio,station_sd_hd_sht_ratio,station_rm_sht_ratio,station_sd_rm_sht_ratio,tow_area,depth,secchi,temp,salinity,do,macro_weight,light_attenuation_av,seagrass_richness,pa,type
11,AP,3943,late,gray snapper,2,100075,16.66666667,38.92494721,11.23666437,0,0,0,16.66666667,38.92494721,11.23666437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33333333,38.92494721,11.23666437,0,0,0,183.3333333,430.2923601,124.214705,0,0,0,0,0,0,0,0,0,0,0,0,183.3333333,430.2923601,124.214705,0,0,0,370,23.66431913,9.660917831,0,0,0,0,0,0,0,0,0,0,23.66431913,Inf,370,23.66431913,9.660917831,0,0,0,0,0,0,0,0,0,0,0,0,480,70,70,30.7,32.3,7.1,0,0.573914344,1,1,trawl
12,AP,3943,late,lane snapper,4,100075,16.66666667,38.92494721,11.23666437,0,0,0,16.66666667,38.92494721,11.23666437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33333333,38.92494721,11.23666437,0,0,0,183.3333333,430.2923601,124.214705,0,0,0,0,0,0,0,0,0,0,0,0,183.3333333,430.2923601,124.214705,0,0,0,370,23.66431913,9.660917831,0,0,0,0,0,0,0,0,0,0,23.66431913,Inf,370,23.66431913,9.660917831,0,0,0,0,0,0,0,0,0,0,0,0,480,70,70,30.7,32.3,7.1,0,0.573914344,1,1,trawl
13,AP,3943,late,pink shrimp,0,100075,16.66666667,38.92494721,11.23666437,0,0,0,16.66666667,38.92494721,11.23666437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33333333,38.92494721,11.23666437,0,0,0,183.3333333,430.2923601,124.214705,0,0,0,0,0,0,0,0,0,0,0,0,183.3333333,430.2923601,124.214705,0,0,0,370,23.66431913,9.660917831,0,0,0,0,0,0,0,0,0,0,23.66431913,Inf,370,23.66431913,9.660917831,0,0,0,0,0,0,0,0,0,0,0,0,480,70,70,30.7,32.3,7.1,0,0.573914344,1,0,trawl
14,AP,3943,late,red drum,0,100075,16.66666667,38.92494721,11.23666437,0,0,0,16.66666667,38.92494721,11.23666437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33333333,38.92494721,11.23666437,0,0,0,183.3333333,430.2923601,124.214705,0,0,0,0,0,0,0,0,0,0,0,0,183.3333333,430.2923601,124.214705,0,0,0,370,23.66431913,9.660917831,0,0,0,0,0,0,0,0,0,0,23.66431913,Inf,370,23.66431913,9.660917831,0,0,0,0,0,0,0,0,0,0,0,0,480,70,70,30.7,32.3,7.1,0,0.573914344,1,0,trawl
15,AP,3943,late,spotted seatrout,0,100075,16.66666667,38.92494721,11.23666437,0,0,0,16.66666667,38.92494721,11.23666437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33333333,38.92494721,11.23666437,0,0,0,183.3333333,430.2923601,124.214705,0,0,0,0,0,0,0,0,0,0,0,0,183.3333333,430.2923601,124.214705,0,0,0,370,23.66431913,9.660917831,0,0,0,0,0,0,0,0,0,0,23.66431913,Inf,370,23.66431913,9.660917831,0,0,0,0,0,0,0,0,0,0,0,0,480,70,70,30.7,32.3,7.1,0,0.573914344,1,0,trawl
16,AP,3943,late,white shrimp,0,100075,16.66666667,38.92494721,11.23666437,0,0,0,16.66666667,38.92494721,11.23666437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33333333,38.92494721,11.23666437,0,0,0,183.3333333,430.2923601,124.214705,0,0,0,0,0,0,0,0,0,0,0,0,183.3333333,430.2923601,124.214705,0,0,0,370,23.66431913,9.660917831,0,0,0,0,0,0,0,0,0,0,23.66431913,Inf,370,23.66431913,9.660917831,0,0,0,0,0,0,0,0,0,0,0,0,480,70,70,30.7,32.3,7.1,0,0.573914344,1,0,trawl
17,AP,3950,early,blue crab,0,100047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,125,125,28.1,25.73,7.01,0,0.827329526,0,0,trawl
18,AP,3950,early,brown shrimp,0,100047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,125,125,28.1,25.73,7.01,0,0.827329526,0,0,trawl
19,AP,3950,early,gray snapper,0,100047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,125,125,28.1,25.73,7.01,0,0.827329526,0,0,trawl
20,AP,3950,early,lane snapper,0,100047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,125,125,28.1,25.73,7.01,0,0.827329526,0,0,trawl
21,AP,3950,early,pink shrimp,0,100047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,125,125,28.1,25.73,7.01,0,0.827329526,0,0,trawl
22,AP,3950,early,red drum,0,100047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,125,125,28.1,25.73,7.01,0,0.827329526,0,0,trawl
23,AP,3950,early,spotted seatrout,0,100047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,125,125,28.1,25.73,7.01,0,0.827329526,0,0,trawl
24,AP,3950,early,white shrimp,0,100047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,125,125,28.1,25.73,7.01,0,0.827329526,0,0,trawl
25,AP,3950,late,blue crab,1,100069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,130,130,29.4,31.98,6.45,0,0.717219714,0,1,trawl
26,AP,3950,late,brown shrimp,0,100069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,130,130,29.4,31.98,6.45,0,0.717219714,0,0,trawl
27,AP,3950,late,gray snapper,0,100069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,130,130,29.4,31.98,6.45,0,0.717219714,0,0,trawl
28,AP,3950,late,lane snapper,3,100069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,130,130,29.4,31.98,6.45,0,0.717219714,0,1,trawl
29,AP,3950,late,pink shrimp,0,100069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,130,130,29.4,31.98,6.45,0,0.717219714,0,0,trawl
30,AP,3950,late,red drum,0,100069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,130,130,29.4,31.98,6.45,0,0.717219714,0,0,trawl
31,AP,3950,late,spotted seatrout,0,100069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,130,130,29.4,31.98,6.45,0,0.717219714,0,0,trawl
32,AP,3950,late,white shrimp,0,100069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,130,130,29.4,31.98,6.45,0,0.717219714,0,0,trawl
33,AP,3953,early,blue crab,0,100049,100,0,0,85.41666667,23.55441797,6.799574779,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.5,643.3731421,185.7258284,0,0,0,908.3333333,485.1585183,140.0532006,0,0,0,0,0,0,0,0,0,1431.833333,911.3170123,263.0745612,470,84.00680245,14.00113374,0,0,0,456.6666667,68.84765791,11.47460965,0,0,0,0,0,0,0,76.26399664,Inf,486.6666667,76.26399664,8.987798197,34.23122075,16.2565242,0,0,65.76877925,16.2565242,0,0,0,0,0,0,384,155,135,28.2,28.28,6.79,0,0.847300198,2,0,trawl
34,AP,3953,early,brown shrimp,0,100049,100,0,0,85.41666667,23.55441797,6.799574779,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.5,643.3731421,185.7258284,0,0,0,908.3333333,485.1585183,140.0532006,0,0,0,0,0,0,0,0,0,1431.833333,911.3170123,263.0745612,470,84.00680245,14.00113374,0,0,0,456.6666667,68.84765791,11.47460965,0,0,0,0,0,0,0,76.26399664,Inf,486.6666667,76.26399664,8.987798197,34.23122075,16.2565242,0,0,65.76877925,16.2565242,0,0,0,0,0,0,384,155,135,28.2,28.28,6.79,0,0.847300198,2,0,trawl
35,AP,3953,early,gray snapper,0,100049,100,0,0,85.41666667,23.55441797,6.799574779,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.5,643.3731421,185.7258284,0,0,0,908.3333333,485.1585183,140.0532006,0,0,0,0,0,0,0,0,0,1431.833333,911.3170123,263.0745612,470,84.00680245,14.00113374,0,0,0,456.6666667,68.84765791,11.47460965,0,0,0,0,0,0,0,76.26399664,Inf,486.6666667,76.26399664,8.987798197,34.23122075,16.2565242,0,0,65.76877925,16.2565242,0,0,0,0,0,0,384,155,135,28.2,28.28,6.79,0,0.847300198,2,0,trawl
36,AP,3953,early,lane snapper,0,100049,100,0,0,85.41666667,23.55441797,6.799574779,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.5,643.3731421,185.7258284,0,0,0,908.3333333,485.1585183,140.0532006,0,0,0,0,0,0,0,0,0,1431.833333,911.3170123,263.0745612,470,84.00680245,14.00113374,0,0,0,456.6666667,68.84765791,11.47460965,0,0,0,0,0,0,0,76.26399664,Inf,486.6666667,76.26399664,8.987798197,34.23122075,16.2565242,0,0,65.76877925,16.2565242,0,0,0,0,0,0,384,155,135,28.2,28.28,6.79,0,0.847300198,2,0,trawl
37,AP,3953,early,pink shrimp,0,100049,100,0,0,85.41666667,23.55441797,6.799574779,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.5,643.3731421,185.7258284,0,0,0,908.3333333,485.1585183,140.0532006,0,0,0,0,0,0,0,0,0,1431.833333,911.3170123,263.0745612,470,84.00680245,14.00113374,0,0,0,456.6666667,68.84765791,11.47460965,0,0,0,0,0,0,0,76.26399664,Inf,486.6666667,76.26399664,8.987798197,34.23122075,16.2565242,0,0,65.76877925,16.2565242,0,0,0,0,0,0,384,155,135,28.2,28.28,6.79,0,0.847300198,2,0,trawl
38,AP,3953,early,red drum,0,100049,100,0,0,85.41666667,23.55441797,6.799574779,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.5,643.3731421,185.7258284,0,0,0,908.3333333,485.1585183,140.0532006,0,0,0,0,0,0,0,0,0,1431.833333,911.3170123,263.0745612,470,84.00680245,14.00113374,0,0,0,456.6666667,68.84765791,11.47460965,0,0,0,0,0,0,0,76.26399664,Inf,486.6666667,76.26399664,8.987798197,34.23122075,16.2565242,0,0,65.76877925,16.2565242,0,0,0,0,0,0,384,155,135,28.2,28.28,6.79,0,0.847300198,2,0,trawl
39,AP,3953,early,spotted seatrout,0,100049,100,0,0,85.41666667,23.55441797,6.799574779,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.5,643.3731421,185.7258284,0,0,0,908.3333333,485.1585183,140.0532006,0,0,0,0,0,0,0,0,0,1431.833333,911.3170123,263.0745612,470,84.00680245,14.00113374,0,0,0,456.6666667,68.84765791,11.47460965,0,0,0,0,0,0,0,76.26399664,Inf,486.6666667,76.26399664,8.987798197,34.23122075,16.2565242,0,0,65.76877925,16.2565242,0,0,0,0,0,0,384,155,135,28.2,28.28,6.79,0,0.847300198,2,0,trawl
40,AP,3953,early,white shrimp,0,100049,100,0,0,85.41666667,23.55441797,6.799574779,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.5,643.3731421,185.7258284,0,0,0,908.3333333,485.1585183,140.0532006,0,0,0,0,0,0,0,0,0,1431.833333,911.3170123,263.0745612,470,84.00680245,14.00113374,0,0,0,456.6666667,68.84765791,11.47460965,0,0,0,0,0,0,0,76.26399664,Inf,486.6666667,76.26399664,8.987798197,34.23122075,16.2565242,0,0,65.76877925,16.2565242,0,0,0,0,0,0,384,155,135,28.2,28.28,6.79,0,0.847300198,2,0,trawl
41,AP,3953,late,blue crab,1,100058,99.25,1.864744682,0.538305422,50.08333333,48.99435651,14.14345246,16.16666667,37.77886214,10.90581811,82.25,38.47106351,11.10563944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1.864744682,0.538305422,218.2714873,267.7981901,77.30667856,182.3333333,574.962344,165.977332,944.6666667,738.7790091,213.2671299,0,0,0,0,0,0,0,0,0,1345.271487,672.6152804,194.1673066,505,111.828951,24.40307776,260,42.42640687,17.32050808,460,87.30972744,15.9405024,0,0,0,0,0,0,0,104.0751729,Inf,476.6666667,104.0751729,13.7850934,30.18395407,26.93258508,0,30.0018705,69.81604593,33.72914011,0,0,0,0,0,0,464,145,145,29.7,30.27,6.73,0,1.054308688,3,1,trawl
42,AP,3953,late,brown shrimp,0,100058,99.25,1.864744682,0.538305422,50.08333333,48.99435651,14.14345246,16.16666667,37.77886214,10.90581811,82.25,38.47106351,11.10563944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1.864744682,0.538305422,218.2714873,267.7981901,77.30667856,182.3333333,574.962344,165.977332,944.6666667,738.7790091,213.2671299,0,0,0,0,0,0,0,0,0,1345.271487,672.6152804,194.1673066,505,111.828951,24.40307776,260,42.42640687,17.32050808,460,87.30972744,15.9405024,0,0,0,0,0,0,0,104.0751729,Inf,476.6666667,104.0751729,13.7850934,30.18395407,26.93258508,0,30.0018705,69.81604593,33.72914011,0,0,0,0,0,0,464,145,145,29.7,30.27,6.73,0,1.054308688,3,0,trawl
43,AP,3953,late,gray snapper,0,100058,99.25,1.864744682,0.538305422,50.08333333,48.99435651,14.14345246,16.16666667,37.77886214,10.90581811,82.25,38.47106351,11.10563944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1.864744682,0.538305422,218.2714873,267.7981901,77.30667856,182.3333333,574.962344,165.977332,944.6666667,738.7790091,213.2671299,0,0,0,0,0,0,0,0,0,1345.271487,672.6152804,194.1673066,505,111.828951,24.40307776,260,42.42640687,17.32050808,460,87.30972744,15.9405024,0,0,0,0,0,0,0,104.0751729,Inf,476.6666667,104.0751729,13.7850934,30.18395407,26.93258508,0,30.0018705,69.81604593,33.72914011,0,0,0,0,0,0,464,145,145,29.7,30.27,6.73,0,1.054308688,3,0,trawl
44,AP,3953,late,lane snapper,0,100058,99.25,1.864744682,0.538305422,50.08333333,48.99435651,14.14345246,16.16666667,37.77886214,10.90581811,82.25,38.47106351,11.10563944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1.864744682,0.538305422,218.2714873,267.7981901,77.30667856,182.3333333,574.962344,165.977332,944.6666667,738.7790091,213.2671299,0,0,0,0,0,0,0,0,0,1345.271487,672.6152804,194.1673066,505,111.828951,24.40307776,260,42.42640687,17.32050808,460,87.30972744,15.9405024,0,0,0,0,0,0,0,104.0751729,Inf,476.6666667,104.0751729,13.7850934,30.18395407,26.93258508,0,30.0018705,69.81604593,33.72914011,0,0,0,0,0,0,464,145,145,29.7,30.27,6.73,0,1.054308688,3,0,trawl
